"Entrez","GeneSymbol"
18,"ABAT"
19,"ABCA1"
30,"ACAA1"
31,"ACACA"
34,"ACADM"
35,"ACADS"
36,"ACADSB"
37,"ACADVL"
38,"ACAT1"
39,"ACAT2"
47,"ACLY"
48,"ACO1"
50,"ACO2"
51,"ACOX1"
52,"ACP1"
54,"ACP5"
87,"ACTN1"
90,"ACVR1"
95,"ACY1"
97,"ACYP1"
98,"ACYP2"
100,"ADA"
109,"ADCY3"
113,"ADCY7"
128,"ADH5"
132,"ADK"
158,"ADSL"
159,"ADSS2"
175,"AGA"
178,"AGL"
191,"AHCY"
203,"AK1"
204,"AK2"
210,"ALAD"
211,"ALAS1"
215,"ABCD1"
219,"ALDH1B1"
223,"ALDH9A1"
224,"ALDH3A2"
226,"ALDOA"
230,"ALDOC"
231,"AKR1B1"
262,"AMD1"
271,"AMPD2"
272,"AMPD3"
275,"AMT"
276,"AMY1A"
277,"AMY1B"
278,"AMY1C"
279,"AMY2A"
291,"SLC25A4"
292,"SLC25A5"
293,"SLC25A6"
353,"APRT"
360,"AQP3"
410,"ARSA"
427,"ASAH1"
435,"ASL"
440,"ASNS"
471,"ATIC"
476,"ATP1A1"
480,"ATP1A4"
481,"ATP1B1"
483,"ATP1B3"
493,"ATP2B4"
498,"ATP5F1A"
506,"ATP5F1B"
509,"ATP5F1C"
513,"ATP5F1D"
514,"ATP5F1E"
515,"ATP5PB"
516,"ATP5MC1"
517,"ATP5MC2"
518,"ATP5MC3"
521,"ATP5ME"
522,"ATP5PF"
523,"ATP6V1A"
526,"ATP6V1B2"
527,"ATP6V0C"
528,"ATP6V1C1"
529,"ATP6V1E1"
533,"ATP6V0B"
549,"AUH"
587,"BCAT2"
593,"BCKDHA"
594,"BCKDHB"
622,"BDH1"
644,"BLVRA"
645,"BLVRB"
669,"BPGM"
682,"BSG"
760,"CA2"
788,"SLC25A20"
790,"CAD"
847,"CAT"
873,"CBR1"
874,"CBR3"
883,"KYAT1"
952,"CD38"
953,"ENTPD1"
955,"ENTPD6"
1066,"CES1"
1118,"CHIT1"
1120,"CHKB"
1155,"TBCB"
1200,"TPP1"
1267,"CNP"
1312,"COMT"
1327,"COX4I1"
1329,"COX5B"
1337,"COX6A1"
1340,"COX6B1"
1345,"COX6C"
1347,"COX7A2"
1349,"COX7B"
1350,"COX7C"
1351,"COX8A"
1371,"CPOX"
1374,"CPT1A"
1375,"CPT1B"
1376,"CPT2"
1384,"CRAT"
1431,"CS"
1468,"SLC25A10"
1487,"CTBP1"
1503,"CTPS1"
1537,"CYC1"
1606,"DGKA"
1609,"DGKQ"
1622,"DBI"
1629,"DBT"
1632,"ECI1"
1633,"DCK"
1635,"DCTD"
1636,"ACE"
1646,"AKR1C2"
1666,"DECR1"
1716,"DGUOK"
1717,"DHCR7"
1723,"DHODH"
1727,"CYB5R3"
1737,"DLAT"
1738,"DLD"
1743,"DLST"
1757,"SARDH"
1806,"DPYD"
1808,"DPYSL2"
1841,"DTYMK"
1854,"DUT"
1890,"TYMP"
1891,"ECH1"
1892,"ECHS1"
2023,"ENO1"
2026,"ENO2"
2027,"ENO3"
2053,"EPHX2"
2098,"ESD"
2108,"ETFA"
2109,"ETFB"
2110,"ETFDH"
2132,"EXT2"
2137,"EXTL3"
2171,"FABP5"
2180,"ACSL1"
2181,"ACSL3"
2182,"ACSL4"
2184,"FAH"
2194,"FASN"
2222,"FDFT1"
2224,"FDPS"
2235,"FECH"
2271,"FH"
2356,"FPGS"
2495,"FTH1"
2512,"FTL"
2517,"FUCA1"
2519,"FUCA2"
2528,"FUT6"
2531,"KDSR"
2539,"G6PD"
2548,"GAA"
2581,"GALC"
2582,"GALE"
2584,"GALK1"
2585,"GALK2"
2588,"GALNS"
2589,"GALNT1"
2590,"GALNT2"
2592,"GALT"
2593,"GAMT"
2597,"GAPDH"
2618,"GART"
2629,"GBA"
2632,"GBE1"
2639,"GCDH"
2653,"GCSH"
2673,"GFPT1"
2678,"GGT1"
2683,"B4GALT1"
2710,"GK"
2713,"GK3P"
2717,"GLA"
2720,"GLB1"
2729,"GCLC"
2730,"GCLM"
2739,"GLO1"
2744,"GLS"
2745,"GLRX"
2746,"GLUD1"
2747,"GLUD2"
2752,"GLUL"
2760,"GM2A"
2762,"GMDS"
2799,"GNS"
2805,"GOT1"
2806,"GOT2"
2820,"GPD2"
2821,"GPI"
2876,"GPX1"
2878,"GPX3"
2879,"GPX4"
2882,"GPX7"
2936,"GSR"
2937,"GSS"
2944,"GSTM1"
2946,"GSTM2"
2954,"GSTZ1"
2987,"GUK1"
2990,"GUSB"
2992,"GYG1"
2997,"GYS1"
3028,"HSD17B10"
3029,"HAGH"
3030,"HADHA"
3032,"HADHB"
3033,"HADH"
3069,"HDLBP"
3073,"HEXA"
3074,"HEXB"
3098,"HK1"
3099,"HK2"
3145,"HMBS"
3151,"HMGN2"
3155,"HMGCL"
3157,"HMGCS1"
3163,"HMOX2"
3251,"HPRT1"
3295,"HSD17B4"
3417,"IDH1"
3418,"IDH2"
3419,"IDH3A"
3420,"IDH3B"
3421,"IDH3G"
3422,"IDI1"
3423,"IDS"
3425,"IDUA"
3612,"IMPA1"
3613,"IMPA2"
3614,"IMPDH1"
3615,"IMPDH2"
3635,"INPP5D"
3636,"INPPL1"
3658,"IREB2"
3703,"STT3A"
3704,"ITPA"
3707,"ITPKB"
3712,"IVD"
3930,"LBR"
3939,"LDHA"
3945,"LDHB"
3988,"LIPA"
3991,"LIPE"
3992,"FADS1"
4023,"LPL"
4047,"LSS"
4048,"LTA4H"
4125,"MAN2B1"
4126,"MANBA"
4144,"MAT2A"
4190,"MDH1"
4191,"MDH2"
4200,"ME2"
4249,"MGAT5"
4258,"MGST2"
4259,"MGST3"
4297,"KMT2A"
4329,"ALDH6A1"
4351,"MPI"
4357,"MPST"
4363,"ABCC1"
4507,"MTAP"
4512,"COX1"
4513,"COX2"
4514,"COX3"
4519,"CYTB"
4522,"MTHFD1"
4535,"ND1"
4536,"ND2"
4537,"ND3"
4538,"ND4"
4539,"ND4L"
4540,"ND5"
4548,"MTR"
4594,"MMUT"
4597,"MVD"
4598,"MVK"
4668,"NAGA"
4669,"NAGLU"
4694,"NDUFA1"
4695,"NDUFA2"
4696,"NDUFA3"
4697,"NDUFA4"
4698,"NDUFA5"
4700,"NDUFA6"
4701,"NDUFA7"
4702,"NDUFA8"
4704,"NDUFA9"
4705,"NDUFA10"
4706,"NDUFAB1"
4707,"NDUFB1"
4708,"NDUFB2"
4709,"NDUFB3"
4710,"NDUFB4"
4711,"NDUFB5"
4712,"NDUFB6"
4713,"NDUFB7"
4714,"NDUFB8"
4715,"NDUFB9"
4716,"NDUFB10"
4717,"NDUFC1"
4718,"NDUFC2"
4719,"NDUFS1"
4720,"NDUFS2"
4722,"NDUFS3"
4723,"NDUFV1"
4724,"NDUFS4"
4725,"NDUFS5"
4726,"NDUFS6"
4728,"NDUFS8"
4729,"NDUFV2"
4731,"NDUFV3"
4758,"NEU1"
4801,"NFYB"
4830,"NME1"
4831,"NME2"
4832,"NME3"
4860,"PNP"
4864,"NPC1"
4905,"NSF"
4942,"OAT"
4953,"ODC1"
4967,"OGDH"
5019,"OXCT1"
5033,"P4HA1"
5048,"PAFAH1B1"
5049,"PAFAH1B2"
5050,"PAFAH1B3"
5052,"PRDX1"
5091,"PC"
5092,"PCBD1"
5106,"PCK2"
5130,"PCYT1A"
5140,"PDE3B"
5142,"PDE4B"
5144,"PDE4D"
5147,"PDE6D"
5149,"PDE6H"
5160,"PDHA1"
5162,"PDHB"
5184,"PEPD"
5198,"PFAS"
5209,"PFKFB3"
5211,"PFKL"
5213,"PFKM"
5214,"PFKP"
5223,"PGAM1"
5226,"PGD"
5230,"PGK1"
5236,"PGM1"
5238,"PGM3"
5279,"PIGC"
5286,"PIK3C2A"
5287,"PIK3C2B"
5289,"PIK3C3"
5290,"PIK3CA"
5293,"PIK3CD"
5295,"PIK3R1"
5296,"PIK3R2"
5297,"PI4KA"
5298,"PI4KB"
5305,"PIP4K2A"
5315,"PKM"
5330,"PLCB2"
5333,"PLCD1"
5335,"PLCG1"
5338,"PLD2"
5372,"PMM1"
5373,"PMM2"
5464,"PPA1"
5471,"PPAT"
5476,"CTSA"
5498,"PPOX"
5538,"PPT1"
5631,"PRPS1"
5634,"PRPS2"
5660,"PSAP"
5723,"PSPH"
5728,"PTEN"
5730,"PTGDS"
5825,"ABCD3"
5832,"ALDH18A1"
5833,"PCYT2"
5834,"PYGB"
5860,"QDPR"
5950,"RBP4"
5973,"RENBP"
6120,"RPE"
6240,"RRM1"
6241,"RRM2"
6303,"SAT1"
6307,"MSMO1"
6342,"SCP2"
6389,"SDHA"
6390,"SDHB"
6391,"SDHC"
6392,"SDHD"
6419,"SETMAR"
6448,"SGSH"
6470,"SHMT1"
6472,"SHMT2"
6482,"ST3GAL1"
6484,"ST3GAL4"
6510,"SLC1A5"
6513,"SLC2A1"
6515,"SLC2A3"
6520,"SLC3A2"
6521,"SLC4A1"
6522,"SLC4A2"
6541,"SLC7A1"
6566,"SLC16A1"
6574,"SLC20A1"
6576,"SLC25A1"
6609,"SMPD1"
6611,"SMS"
6647,"SOD1"
6648,"SOD2"
6652,"SORD"
6675,"UAP1"
6697,"SPR"
6723,"SRM"
6817,"SULT1A1"
6818,"SULT1A3"
6839,"SUV39H1"
6888,"TALDO1"
6916,"TBXAS1"
7001,"PRDX2"
7086,"TKT"
7167,"TPI1"
7263,"TST"
7264,"GFUS"
7296,"TXNRD1"
7351,"UCP2"
7352,"UCP3"
7357,"UGCG"
7358,"UGDH"
7360,"UGP2"
7372,"UMPS"
7378,"UPP1"
7381,"UQCRB"
7384,"UQCRC1"
7385,"UQCRC2"
7386,"UQCRFS1"
7388,"UQCRH"
7389,"UROD"
7390,"UROS"
7468,"NSD2"
7915,"ALDH5A1"
7923,"HSD17B8"
8034,"SLC25A16"
8050,"PDHX"
8085,"KMT2D"
8310,"ACOX3"
8396,"PIP4K2B"
8398,"PLA2G6"
8402,"SLC25A11"
8446,"DUSP11"
8473,"OGT"
8509,"NDST2"
8525,"DGKZ"
8527,"DGKD"
8560,"DEGS1"
8566,"PDXK"
8574,"AKR7A2"
8604,"SLC25A12"
8659,"ALDH4A1"
8694,"DGAT1"
8703,"B4GALT3"
8705,"B3GALT4"
8733,"GPAA1"
8760,"CDS2"
8776,"MTMR1"
8801,"SUCLG2"
8802,"SUCLG1"
8803,"SUCLA2"
8821,"INPP4B"
8833,"GMPS"
8836,"GGH"
8871,"SYNJ2"
8877,"SPHK1"
8879,"SGPL1"
8884,"SLC5A6"
8974,"P4HA2"
8992,"ATP6V0E1"
9045,"RPL14"
9061,"PAPSS1"
9091,"PIGQ"
9107,"MTMR6"
9114,"ATP6V0D1"
9123,"SLC16A3"
9167,"COX7A2L"
9197,"SLC33A1"
9249,"DHRS3"
9296,"ATP6V1F"
9334,"B4GALT5"
9377,"COX5A"
9380,"GRHPR"
9489,"PGS1"
9497,"SLC4A7"
9517,"SPTLC2"
9524,"TECR"
9550,"ATP6V1G1"
9551,"ATP5MF"
9583,"ENTPD4"
9588,"PRDX6"
9653,"HS2ST1"
9663,"LPIN2"
9739,"SETD1A"
9757,"KMT2B"
9789,"SPCS2"
9791,"PTDSS1"
9807,"IP6K1"
9869,"SETDB1"
9896,"FIG4"
9917,"FAM20B"
9990,"SLC12A6"
10005,"ACOT8"
10007,"GNPDA1"
10020,"GNE"
10026,"PIGK"
10057,"ABCC5"
10087,"CERT1"
10135,"NAMPT"
10166,"SLC25A15"
10201,"NME6"
10229,"COQ7"
10312,"TCIRG1"
10327,"AKR1A1"
10380,"BPNT1"
10390,"CEPT1"
10396,"ATP8A1"
10423,"CDIPT"
10449,"ACAA2"
10455,"ECI2"
10476,"ATP5PD"
10478,"SLC25A17"
10553,"HTATIP2"
10554,"AGPAT1"
10555,"AGPAT2"
10558,"SPTLC1"
10587,"TXNRD2"
10588,"MTHFS"
10606,"PAICS"
10632,"ATP5MG"
10654,"PMVK"
10682,"EBP"
10723,"SLC12A7"
